,Open,High,Low,Close,TotalVolume
2017-07-25,382.0,383.75,368.5,369.25,105744
2017-07-26,368.5,373.25,366.0,373.0,92313
2017-07-27,374.0,377.25,373.0,373.5,67012
2017-07-28,373.75,377.0,373.0,375.25,59057
2017-07-31,371.0,372.25,367.5,372.0,66954
2017-08-01,369.25,371.5,362.0,363.0,92409
2017-08-02,364.5,367.25,363.75,364.5,78605
2017-08-03,365.0,367.25,361.25,364.0,143599
2017-08-04,363.5,368.0,363.25,367.25,87613
2017-08-07,368.75,372.5,368.25,372.0,120395
2017-08-08,372.5,374.25,368.25,369.25,154767
2017-08-09,369.0,372.5,368.75,371.5,155064
2017-08-10,371.75,375.5,356.5,359.5,294920
2017-08-11,358.75,361.5,357.25,361.25,106793
2017-08-14,358.75,363.0,356.0,362.5,82371
2017-08-15,361.0,361.0,354.0,355.5,97075
2017-08-16,355.0,356.75,349.25,353.0,141707
2017-08-17,366.5,367.75,363.5,364.0,133529
2017-08-18,364.0,366.25,363.5,365.0,192416
2017-08-21,364.25,364.5,360.75,361.75,153542
2017-08-22,363.0,365.25,360.0,360.0,168932
2017-08-23,360.25,362.75,355.5,355.75,163347
2017-08-24,355.5,356.75,354.5,356.5,160266
2017-08-25,356.25,357.0,352.5,353.0,180456
2017-08-28,353.25,355.0,350.5,350.75,147491
2017-08-29,350.75,351.0,347.0,348.25,203514
2017-08-30,348.25,349.25,345.0,345.0,229704
2017-08-31,345.0,358.5,344.25,357.5,265094
2017-09-01,357.0,360.75,353.25,354.75,174343
2017-09-05,354.75,360.5,354.75,357.5,134478
2017-09-06,357.5,362.0,356.0,360.75,120206
2017-09-07,360.0,360.25,354.75,355.0,116336
2017-09-08,355.25,358.75,355.0,356.5,109481
2017-09-11,356.5,359.25,354.75,358.0,116099
2017-09-12,357.0,357.25,345.5,351.5,261184
2017-09-13,351.0,356.75,350.25,352.75,138664
2017-09-14,353.0,356.25,352.5,354.25,99167
2017-09-15,353.5,355.5,352.5,354.75,109755
2017-09-18,353.25,355.5,350.5,351.5,99550
2017-09-19,351.0,353.25,346.5,348.25,146078
2017-09-20,348.0,351.5,347.25,350.25,102115
2017-09-21,349.5,351.25,348.5,350.0,82977
2017-09-22,349.75,356.25,349.5,353.5,127745
2017-09-25,352.75,355.0,351.25,353.5,97453
2017-09-26,352.75,355.5,351.5,352.0,155862
2017-09-27,352.0,354.5,348.5,353.75,172892
2017-09-28,353.25,353.75,350.5,352.75,118768
2017-09-29,352.25,358.0,350.0,356.25,224411
2017-10-02,354.75,356.25,351.0,351.5,171081
2017-10-03,351.5,351.5,348.75,349.25,174928
2017-10-04,349.25,349.5,346.0,348.25,159849
2017-10-05,348.25,351.25,347.5,349.5,104644
2017-10-06,349.25,351.0,348.5,349.75,129767
2017-10-09,350.5,351.75,348.0,349.5,99967
2017-10-10,349.0,351.25,348.25,349.0,99233
2017-10-11,348.75,349.0,345.5,345.75,147560
2017-10-12,346.0,354.0,342.5,348.75,320521
2017-10-13,348.5,353.5,348.25,352.75,142395
2017-10-16,352.75,353.25,349.75,351.0,128826
2017-10-17,350.25,351.75,348.5,350.5,123109
2017-10-18,350.25,350.5,347.75,348.75,118857
2017-10-19,348.75,351.5,348.5,348.75,117903
2017-10-20,349.0,350.0,344.25,344.25,179774
2017-10-23,344.25,351.75,343.0,351.0,238837
2017-10-24,351.0,353.0,349.5,352.75,186962
2017-10-25,352.5,355.25,350.5,350.75,185193
2017-10-26,350.75,352.0,349.5,350.5,134492
2017-10-27,350.25,350.25,347.5,348.25,146172
2017-10-30,348.5,349.75,347.25,348.75,104509
2017-10-31,348.0,348.75,345.5,345.5,157407
2017-11-01,345.75,349.25,345.25,348.25,198152
2017-11-02,347.75,352.0,347.5,350.5,148487
2017-11-03,350.25,351.0,347.5,349.0,188296
2017-11-06,348.5,350.25,347.75,348.0,188696
2017-11-07,347.75,348.25,346.25,347.5,259183
2017-11-08,347.5,349.0,345.75,347.5,189070
2017-11-09,347.5,349.75,340.75,342.0,445053
2017-11-10,341.75,344.0,341.0,343.5,320379
2017-11-13,343.5,344.0,341.5,342.25,256472
2017-11-14,342.0,342.25,337.25,337.5,202124
2017-11-15,337.25,339.0,337.0,338.5,201802
2017-11-16,338.25,339.0,336.25,336.75,168495
2017-11-17,336.5,343.5,336.5,343.25,337543
2017-11-20,342.5,345.25,341.5,344.75,267998
2017-11-21,344.0,345.75,342.75,344.75,230190
2017-11-22,344.25,347.0,344.0,344.5,162555
2017-11-24,344.25,345.75,339.75,342.0,138773
2017-11-27,342.5,342.5,338.5,339.25,247887
2017-11-28,352.0,352.5,349.25,349.5,225123
2017-11-29,349.5,354.0,349.25,353.75,305437
2017-11-30,353.5,357.0,352.0,355.75,180854
2017-12-01,355.5,359.5,354.75,359.0,149068
2017-12-04,359.0,360.5,352.5,353.0,230656
2017-12-05,353.5,357.0,352.75,353.75,157990
2017-12-06,353.0,356.0,351.0,352.5,153855
2017-12-07,352.25,353.5,350.5,351.5,123852
2017-12-08,351.5,354.0,351.25,352.5,99718
2017-12-11,352.0,352.25,348.25,349.75,143004
2017-12-12,349.25,353.0,347.5,348.0,175139
2017-12-13,348.0,350.0,347.75,349.0,74245
2017-12-14,349.0,350.75,348.0,348.75,95618
2017-12-15,348.75,350.75,346.5,347.25,114431
2017-12-18,347.25,348.75,346.5,347.0,87115
2017-12-19,346.75,348.75,346.5,347.5,74033
2017-12-20,347.5,349.75,347.25,349.25,96803
2017-12-21,349.0,351.75,348.5,351.0,100053
2017-12-22,350.75,352.5,350.5,352.25,59841
2017-12-26,352.0,353.25,351.0,352.5,54881
2017-12-27,352.0,354.25,351.75,353.25,79243
2017-12-28,353.0,353.5,350.0,351.5,86123
2017-12-29,351.25,351.5,350.25,351.0,82605
2018-01-02,351.25,354.0,350.5,353.25,136756
2018-01-03,353.0,354.75,352.25,353.0,122048
2018-01-04,353.0,353.5,350.25,351.0,165368
2018-01-05,350.75,352.25,350.25,351.25,132909
2018-01-08,350.75,351.5,346.75,347.5,256181
2018-01-09,347.5,350.0,347.25,348.75,137789
2018-01-10,348.75,350.0,348.0,349.0,130245
2018-01-11,349.0,350.5,348.0,348.75,144822
2018-01-12,348.75,350.0,345.5,347.25,195185
2018-01-16,347.25,349.25,346.0,348.5,162141
2018-01-17,348.5,353.25,348.25,352.25,217224
2018-01-18,352.5,354.0,350.5,351.25,174921
2018-01-19,351.5,354.0,351.25,352.5,134421
2018-01-22,353.5,354.5,351.25,352.0,165392
2018-01-23,351.75,352.0,349.5,351.5,191519
2018-01-24,351.25,357.0,349.75,356.5,312216
2018-01-25,356.0,358.0,354.5,355.5,211459
2018-01-26,355.0,357.0,354.5,356.25,125361
2018-01-29,356.75,359.25,356.75,358.5,159668
2018-01-30,359.5,362.25,359.0,361.25,201240
2018-01-31,361.5,362.0,359.5,361.5,158480
